,s,0,110,120,140,141,210,220
all,35072,5000,5000,5000,5072,5000,5000,5000,0
all%up,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
avgall,2187.259352189781,1215.272,2547.2328,2452.1256,2464.231861198738,2877.6264,1892.4184,1857.92,0
16,7,7,0,0,0,0,0,0,0
16%up,0.00019958941605839416,0.0014,0,0,0,0,0,0,0
avg16,211.42857142857142,211.42857142857142,0,0,0,0,0,0,0
32,387,257,20,18,24,15,26,27,0
32%up,0.011034443430656935,0.0514,0.004,0.0036,0.00473186119873817,0.003,0.0052,0.0054,0
avg32,445.05426356589146,392.79377431906613,583.4,610.8888888888889,618.3333333333334,652.0,480.15384615384613,426.6666666666667,0
64,5035,1711,434,539,584,393,663,711,0
64%up,0.14356181569343066,0.3422,0.0868,0.1078,0.11514195583596215,0.0786,0.1326,0.1422,0
avg64,892.4313803376366,744.2571595558153,987.778801843318,1073.543599257885,1071.486301369863,1124.0916030534352,824.2292609351433,841.985935302391,0
128,16888,2534,2115,2169,2165,2535,2645,2725,0
128%up,0.48152372262773724,0.5068,0.423,0.4338,0.4268533123028391,0.507,0.529,0.545,0
avg128,1661.806963524396,1369.9415943172849,1774.2089834515366,1819.9391424619641,1808.4157043879907,1820.822090729783,1557.6090737240077,1556.8381651376146,0
256,11243,489,2264,2171,2017,1194,1619,1489,0
256%up,0.32056911496350365,0.0978,0.4528,0.4342,0.3976735015772871,0.2388,0.3238,0.2978,0
avg256,3087.3023214444543,2493.881390593047,3338.5335689045937,3284.1179180101335,3154.568170550322,3110.398659966499,2800.8424953675108,2815.0624580255203,0
512,1453,2,167,103,282,804,47,48,0
512%up,0.0414290602189781,0.0004,0.0334,0.0206,0.0555993690851735,0.1608,0.0094,0.0096,0
avg512,5946.992429456297,4784.0,5897.652694610779,5764.310679611651,5602.879432624113,6192.348258706467,5291.574468085107,5112.833333333333,0
1024,59,0,0,0,0,59,0,0,0
1024%up,0.0016822536496350364,0,0,0,0,0.0118,0,0,0
avg1024,10649.762711864407,0,0,0,0,10649.762711864407,0,0,0
2048,0,0,0,0,0,0,0,0,0
2048%up,0,0,0,0,0,0,0,0,0
avg2048,0,0,0,0,0,0,0,0,0
4096,0,0,0,0,0,0,0,0,0
4096%up,0,0,0,0,0,0,0,0,0
avg4096,0,0,0,0,0,0,0,0,0
